iter	MultiClass
454	0.6102692057
455	0.6098930404
456	0.6097104252
457	0.6093592669
458	0.6092971647
459	0.6090845135
460	0.6083774446
461	0.6077534707
462	0.6075571524
463	0.6073647097
464	0.6072768163
465	0.6069501112
466	0.6067859513
467	0.6061724969
468	0.6059167525
469	0.6055652251
470	0.6053780422
471	0.6052941167
472	0.6044621515
473	0.6042345976
474	0.6039914951
475	0.60357602
476	0.6033203679
477	0.6032198326
478	0.6029458174
479	0.6026594372
480	0.6021624358
481	0.6020671603
482	0.6017095426
483	0.6012555421
484	0.6009255613
485	0.6008003882
486	0.6004872939
487	0.5999125034
488	0.5995039491
489	0.5992263813
490	0.5991695851
491	0.59883153
492	0.5986015769
493	0.5982461277
494	0.5981006076
495	0.5976884545
496	0.5974372778
497	0.5970378127
498	0.5968486458
499	0.5968105818
500	0.5966700446
501	0.5963832492
502	0.5961575408
503	0.5959471041
504	0.5956683367
505	0.5953063821
506	0.5949030414
507	0.5945540515
508	0.5944678653
509	0.5939834135
510	0.5935364721
511	0.5933867534
512	0.5931795465
513	0.5928738805
514	0.5925713058
515	0.5923145463
516	0.592113891
517	0.591989087
518	0.5919041926
519	0.5912509209
520	0.5909137886
521	0.5907556728
522	0.5906272239
523	0.5901568443
524	0.589857776
525	0.5893137598
526	0.5890743483
527	0.5888210954
528	0.5885139529
529	0.5882538716
530	0.5881778818
531	0.5880734709
532	0.5878281999
533	0.5875993541
534	0.5874618621
535	0.5871623786
536	0.5869772258
537	0.5867888433
538	0.5865658109
539	0.5864551252
540	0.5862822451
541	0.5859858529
542	0.5856650535
543	0.5855223018
544	0.5851366781
545	0.5849675353
546	0.5846001363
547	0.5843965281
548	0.5843380248
549	0.5840869865
550	0.5837468552
551	0.5835511828
552	0.583463151
553	0.5831830456
554	0.5828840697
555	0.5826447966
556	0.5823827313
557	0.5820678376
558	0.5816032253
559	0.5814201026
560	0.5811269862
561	0.5807229995
562	0.5803638131
563	0.5802303351
564	0.5799425708
565	0.5797230911
566	0.5794547048
567	0.5793149981
568	0.5791190489
569	0.578893848
570	0.5787543721
571	0.5785359074
572	0.5783191037
573	0.5781023923
574	0.5779357408
575	0.5776029917
576	0.5773430948
577	0.5766318274
578	0.5764917977
579	0.5763927389
580	0.5761328882
581	0.5757563077
582	0.5755199413
583	0.5752587526
584	0.5747696409
585	0.5746147086
586	0.5745268613
587	0.5741697973
588	0.5741291034
589	0.5738162398
590	0.5736697508
591	0.5736005895
592	0.5733038744
593	0.5731090786
594	0.5726793468
595	0.5724059315
596	0.5721581228
597	0.5719290925
598	0.5718508881
599	0.5715146325
600	0.571370312
601	0.5709100367
602	0.5706673033
603	0.5703403214
604	0.570167349
605	0.5698899658
606	0.5694097587
607	0.5692408927
608	0.5690451742
609	0.568882952
610	0.5685992478
611	0.5684335192
612	0.5678266626
613	0.5675645973
614	0.5674615705
615	0.5672882291
616	0.5671893548
617	0.5669893915
618	0.5665683337
619	0.5662728181
620	0.5660476634
621	0.5655991995
622	0.5653303057
623	0.5651089343
624	0.564941314
625	0.5648064518
626	0.5646131786
627	0.5643963288
628	0.5640403721
629	0.563680632
630	0.5635904779
631	0.5634081395
632	0.5632105293
633	0.5630357575
634	0.5626965029
635	0.562475316
636	0.5624031096
637	0.5622365966
638	0.5619805293
639	0.5614699171
640	0.5610814791
641	0.5607726757
642	0.5606875044
643	0.5603491725
644	0.5602410706
645	0.5598993245
646	0.5596626813
647	0.5593132301
648	0.5591762917
649	0.5588875123
650	0.5587568488
651	0.5586978841
652	0.5583856203
653	0.5581182952
654	0.5579080893
655	0.5575728025
656	0.5573187191
657	0.5569751274
658	0.5568473244
659	0.5566248919
660	0.5564561642
661	0.5561728291
662	0.5558689164
663	0.5555762152
664	0.555257446
665	0.5549773867
666	0.5547262561
667	0.5544177296
668	0.5542544924
669	0.5541817785
670	0.554050469
671	0.5538798958
672	0.5537621048
673	0.55360099
674	0.5533088425
675	0.553202217
676	0.5529506712
677	0.5528233296
678	0.552559511
679	0.5524915032
680	0.5523320493
681	0.5521069407
682	0.551916482
683	0.5517107515
684	0.5514315688
685	0.550832648
686	0.5507665319
687	0.5506346226
688	0.5501907725
689	0.5499765987
690	0.5497312354
691	0.5495985417
692	0.5493935033
693	0.5491630888
694	0.5490367161
695	0.5489493302
696	0.5488289094
697	0.5487276359
698	0.5483459801
699	0.5481486006
700	0.5478934099
701	0.5478176509
702	0.5476283917
703	0.5474769659
704	0.546991453
705	0.546808607
706	0.546527302
707	0.5463078223
708	0.5460237029
709	0.5458837655
710	0.5455086614
711	0.5452715569
712	0.544980932
713	0.5447568846
714	0.5443116042
715	0.5441418615
716	0.5438385024
717	0.5436742041
718	0.5434185519
719	0.5433222614
720	0.5431058268
721	0.54267711
722	0.5425370804
723	0.5422995606
724	0.5420890317
725	0.5418959431
726	0.5417077912
727	0.5414236718
728	0.5411352615
729	0.5409784837
730	0.5407429479
731	0.5404760841
732	0.5401938564
733	0.5400949821
734	0.5398357773
735	0.5395864923
736	0.5394550905
737	0.5393743485
738	0.5392400862
739	0.5389799586
740	0.5387134179
741	0.5384084901
742	0.5381253857
743	0.5378599984
744	0.5377370861
745	0.537598902
746	0.5375150226
747	0.5374132416
748	0.5372055271
749	0.5371266768
750	0.5368603206
751	0.5366615109
752	0.5364124104
753	0.5361440702
754	0.5360318158
755	0.5359906144
756	0.5357789782
757	0.5355517011
758	0.5354877073
759	0.5352294714
760	0.5349251434
761	0.5347663355
762	0.5344913515
763	0.5340921171
764	0.5339684204
765	0.5338664087
766	0.5336510353
767	0.5334119929
768	0.5332873273
769	0.532973218
770	0.5326944968
771	0.5325069909
772	0.5321692588
773	0.5320261379
774	0.531957115
775	0.5316938501
776	0.5313431532
777	0.5310495292
778	0.530829219
779	0.5306550471
780	0.5305158018
781	0.5303465666
782	0.530074397
783	0.5300095266
784	0.5298389073
785	0.5297055216
786	0.529420664
787	0.5292259605
788	0.5291005105
789	0.5287660543
790	0.5285766567
791	0.5284911625
792	0.5283943183
793	0.5283366916
794	0.527750182
795	0.5276037391
796	0.5274466845
797	0.5272047815
798	0.5269705376
799	0.5268916873
800	0.5265232732
801	0.5262496733
802	0.5260856518
803	0.5258068383
804	0.5253582821
805	0.5251991973
806	0.5250515549
807	0.5248727691
808	0.5246433697
809	0.524447605
810	0.5242999626
811	0.5240439413
812	0.5239358394
813	0.5238202169
814	0.52357633
815	0.5234853915
816	0.5230426026
817	0.5228935299
818	0.5227385053
819	0.5224152606
820	0.5222014559
821	0.5219358841
822	0.5217474554
823	0.5216656984
824	0.5212544219
825	0.5208642306
826	0.5208041124
827	0.5206697578
828	0.5205048135
829	0.5202842726
830	0.5200974126
831	0.5199495856
832	0.5196779235
833	0.5194320066
834	0.5191693876
835	0.5188188752
836	0.5187695534
837	0.5185502582
838	0.5180839388
839	0.517821735
840	0.5175262195
841	0.5173232572
842	0.5171514845
843	0.5168468797
844	0.5167516041
845	0.5164595489
846	0.5161849801
847	0.5160394139
848	0.5157779945
849	0.515606314
850	0.5154904147
851	0.5151258763
852	0.5149433994
853	0.5147546939
854	0.5146214005
855	0.5144535033
856	0.5143717002
857	0.5141024834
858	0.5137264104
859	0.5135794601
860	0.5133496915
861	0.5131256441
862	0.5129525333
863	0.5129048725
864	0.5126153087
865	0.5122618896
866	0.5121123555
867	0.5119274334
868	0.5118556422
869	0.5116156771
870	0.5114731099
871	0.5111593235
872	0.5109335229
873	0.510837786
874	0.5105976825
875	0.5104415044
876	0.5102671479
877	0.5100094196
878	0.50984203
879	0.509712889
880	0.5096437277
881	0.5094137285
882	0.5092585655
883	0.5091213964
884	0.5088745567
885	0.5086870047
886	0.5084537757
887	0.5083209437
888	0.5079488847
889	0.507716071
890	0.5075040657
891	0.5073571615
892	0.5071450177
893	0.5069194478
894	0.5066918477
895	0.5066049693
896	0.5063302621
897	0.5062818631
898	0.506016891
899	0.5057764184
900	0.5053908871
901	0.5050491871
902	0.5047725882
903	0.5046230079
904	0.5045052169
905	0.5042780783
906	0.5041360647
907	0.5040965703
908	0.5039561716
909	0.5037907198
910	0.5036854784
911	0.5035042012
912	0.5031804028
913	0.5029776252
914	0.5028361652
915	0.502561781
916	0.5024569087
917	0.5022386286
918	0.502049554
919	0.5019593998
920	0.5016882914
921	0.501632787
922	0.5015559207
923	0.5013673075
924	0.5012798293
925	0.5011435369
926	0.5010079827
927	0.5007586053
928	0.5005896932
929	0.500524915
930	0.500372059
931	0.5002696782
932	0.4998638921
933	0.4997399186
934	0.499569853
935	0.4994228103
936	0.4993483432
937	0.4992342894
938	0.4990361717
939	0.4987474384
940	0.4984784523
941	0.4982471151
942	0.4981307544
943	0.4980379703
944	0.4978022961
945	0.4977110807
946	0.4975879838
947	0.4974533524
948	0.497213295
949	0.497128216
950	0.4970013819
951	0.4967215534
952	0.4965980874
953	0.4964965832
954	0.4962837474
955	0.4960215898
956	0.4957039739
957	0.4954860168
958	0.4953625508
959	0.4950786159
960	0.494911457
961	0.4947928355
962	0.494675875
963	0.4944947823
964	0.4943932781
965	0.4943247167
966	0.4941140494
967	0.4940466414
968	0.4939722203
969	0.4937744256
970	0.4936969595
971	0.4935218186
972	0.4931975127
973	0.4930907488
974	0.4929948735
975	0.492639978
976	0.4924429676
977	0.4923520752
978	0.4921152013
979	0.4919974565
980	0.4919126544
981	0.491785405
982	0.4914700039
983	0.4912441571
984	0.4911040813
985	0.4910497765
986	0.4908023832
987	0.4906142313
988	0.4904130224
989	0.4903427999
990	0.4900408711
991	0.4896843146
992	0.4895361646
993	0.4893289116
994	0.4891232733
995	0.4888784637
996	0.4886575537
997	0.4885136484
998	0.4883124856
999	0.4882659321
1000	0.4879739692
1001	0.4879240014
1002	0.4876884194
1003	0.4875237058
1004	0.4873300635
1005	0.4872677769
1006	0.4869896093
1007	0.4869095133
1008	0.4867941215
1009	0.4865542486
1010	0.4863839062
1011	0.4861300996
1012	0.4859488223
1013	0.4855782398
1014	0.4854711529
1015	0.4851910936
1016	0.4850187211
1017	0.4846518757
1018	0.4842771869
1019	0.4841803888
1020	0.4840484795
1021	0.4839494668
1022	0.4837220513
1023	0.4836035682
1024	0.4833656332
1025	0.4831341575
1026	0.4830344527
1027	0.4829633537
1028	0.4828566359
1029	0.4827905197
1030	0.4825315918
1031	0.4824986029
1032	0.4823338893
1033	0.4821413544
1034	0.4819886828
1035	0.4818564506
1036	0.4817208964
1037	0.4815449712
1038	0.4814091401
1039	0.4812674956
1040	0.4811442603
1041	0.4808960826
1042	0.4808500828
1043	0.4806363242
1044	0.4804395445
1045	0.4801992564
1046	0.4801473047
1047	0.4799391289
1048	0.479858433
1049	0.4796068872
1050	0.479461644
1051	0.4791452739
1052	0.4789475253
1053	0.4787383344
1054	0.4784824977
1055	0.4783581551
