iter	Passed	Remaining
412	3862	42903
413	3872	42892
414	3880	42876
415	3889	42862
416	3900	42863
417	3909	42851
418	3917	42834
419	3927	42826
420	3936	42810
421	3946	42813
422	3954	42793
423	3963	42780
424	3974	42784
425	3985	42794
426	3993	42773
427	4002	42750
428	4011	42744
429	4020	42730
430	4030	42728
431	4040	42725
432	4051	42731
433	4061	42730
434	4073	42747
435	4088	42796
436	4101	42825
437	4114	42858
438	4127	42883
439	4142	42927
440	4156	42964
441	4169	42997
442	4183	43033
443	4197	43072
444	4211	43104
445	4223	43121
446	4232	43115
447	4241	43098
448	4252	43104
449	4262	43097
450	4270	43079
451	4279	43057
452	4287	43040
453	4297	43029
454	4309	43046
455	4318	43030
456	4326	43007
457	4336	43001
458	4344	42978
459	4352	42960
460	4361	42942
461	4370	42926
462	4379	42916
463	4388	42904
464	4397	42888
465	4407	42882
466	4415	42858
467	4425	42853
468	4434	42843
469	4443	42826
470	4452	42815
471	4460	42793
472	4471	42793
473	4480	42778
474	4489	42772
475	4499	42766
476	4510	42767
477	4520	42761
478	4528	42745
479	4539	42748
480	4549	42744
481	4558	42725
482	4567	42718
483	4577	42707
484	4586	42696
485	4594	42676
486	4604	42669
487	4614	42663
488	4623	42652
489	4634	42654
490	4643	42638
491	4653	42641
492	4664	42646
493	4673	42632
494	4682	42617
495	4692	42609
496	4701	42600
497	4712	42605
498	4721	42588
499	4729	42568
500	4738	42550
501	4747	42537
502	4755	42518
503	4765	42514
504	4774	42499
505	4783	42483
506	4792	42469
507	4801	42458
508	4810	42447
509	4823	42466
510	4833	42464
511	4843	42457
512	4854	42457
513	4864	42454
514	4873	42442
515	4882	42426
516	4891	42418
517	4899	42396
518	4907	42373
519	4915	42350
520	4924	42333
521	4932	42316
522	4941	42298
523	4950	42288
524	4960	42281
525	4973	42300
526	4987	42334
527	5003	42377
528	5017	42409
529	5031	42431
530	5045	42461
531	5057	42474
532	5069	42488
533	5083	42511
534	5094	42516
535	5105	42522
536	5118	42543
537	5131	42557
538	5140	42542
539	5151	42550
540	5160	42531
541	5170	42525
542	5179	42516
543	5189	42507
544	5198	42495
545	5207	42477
546	5218	42479
547	5226	42462
548	5236	42451
549	5244	42434
550	5255	42437
551	5264	42424
552	5274	42413
553	5284	42408
554	5294	42400
555	5302	42383
556	5310	42363
557	5320	42351
558	5329	42339
559	5337	42321
560	5346	42303
561	5355	42294
562	5364	42278
563	5373	42262
564	5381	42244
565	5390	42227
566	5399	42215
567	5408	42199
568	5418	42194
569	5427	42183
570	5437	42175
571	5446	42160
572	5456	42155
573	5466	42149
574	5474	42132
575	5484	42126
576	5494	42115
577	5505	42119
578	5516	42118
579	5524	42103
580	5534	42096
581	5544	42091
582	5555	42089
583	5564	42073
584	5572	42058
585	5581	42039
586	5588	42016
587	5598	42007
588	5606	41989
589	5616	41980
590	5626	41973
591	5635	41960
592	5644	41949
593	5652	41931
594	5662	41924
595	5672	41913
596	5680	41897
597	5689	41881
598	5698	41867
599	5708	41861
600	5716	41845
601	5725	41830
602	5735	41821
603	5745	41817
604	5754	41803
605	5763	41788
606	5772	41774
607	5782	41771
608	5791	41758
609	5800	41743
610	5810	41739
611	5820	41729
612	5830	41726
613	5839	41714
614	5848	41697
615	5857	41687
616	5867	41683
617	5877	41674
618	5886	41661
619	5895	41652
620	5905	41641
621	5915	41637
622	5926	41636
623	5941	41668
624	5950	41650
625	5958	41634
626	5968	41628
627	5977	41615
628	5986	41601
629	5995	41588
630	6003	41570
631	6012	41557
632	6023	41552
633	6031	41537
634	6040	41523
635	6050	41519
636	6058	41499
637	6067	41480
638	6075	41463
639	6085	41456
640	6095	41450
641	6104	41439
642	6114	41433
643	6124	41425
644	6133	41414
645	6141	41395
646	6150	41383
647	6160	41371
648	6169	41358
649	6178	41350
650	6188	41342
651	6196	41325
652	6206	41313
653	6215	41301
654	6224	41288
655	6234	41285
656	6244	41278
657	6254	41271
658	6262	41251
659	6270	41235
660	6279	41219
661	6287	41202
662	6296	41186
663	6305	41175
664	6316	41173
665	6325	41162
666	6333	41146
667	6343	41140
668	6352	41125
669	6360	41108
670	6370	41099
671	6381	41098
672	6391	41092
673	6401	41086
674	6409	41068
675	6418	41057
676	6428	41050
677	6437	41034
678	6445	41019
679	6454	41006
680	6463	40991
681	6473	40986
682	6481	40968
683	6490	40952
684	6499	40939
685	6509	40932
686	6517	40915
687	6527	40908
688	6535	40895
689	6545	40887
690	6555	40878
691	6565	40872
692	6574	40859
693	6582	40843
694	6592	40835
695	6602	40828
696	6611	40818
697	6621	40807
698	6631	40802
699	6640	40789
700	6649	40780
701	6657	40762
702	6666	40746
703	6675	40735
704	6684	40724
705	6693	40711
706	6702	40696
707	6711	40686
708	6720	40675
709	6730	40668
710	6739	40656
711	6750	40653
712	6760	40649
713	6770	40640
714	6780	40632
715	6789	40623
716	6799	40617
717	6808	40605
718	6817	40592
719	6828	40590
720	6836	40573
721	6845	40559
722	6853	40545
723	6862	40529
724	6872	40524
725	6881	40509
726	6890	40499
727	6899	40487
728	6909	40480
729	6918	40469
730	6927	40458
731	6936	40442
732	6945	40433
733	6954	40422
734	6963	40409
735	6973	40401
736	6983	40391
737	6991	40375
738	7001	40370
739	7011	40361
740	7020	40353
741	7030	40343
742	7041	40342
743	7050	40333
744	7060	40323
745	7070	40319
746	7079	40308
747	7089	40301
748	7099	40295
749	7109	40289
750	7119	40281
751	7127	40265
752	7136	40252
753	7145	40240
754	7155	40230
755	7163	40216
756	7174	40210
757	7183	40202
758	7192	40191
759	7201	40179
760	7210	40166
761	7220	40157
762	7229	40147
763	7239	40136
764	7248	40125
765	7256	40111
766	7266	40103
767	7274	40087
768	7282	40070
769	7292	40059
770	7302	40054
771	7311	40044
772	7321	40035
773	7330	40022
774	7338	40005
775	7347	39996
776	7357	39988
777	7366	39978
778	7377	39973
779	7386	39964
780	7396	39953
781	7404	39938
782	7414	39929
783	7422	39914
784	7432	39906
785	7440	39893
786	7451	39888
787	7462	39888
788	7474	39892
789	7483	39882
790	7493	39874
791	7501	39855
792	7510	39842
793	7520	39835
794	7529	39824
795	7538	39814
796	7548	39809
797	7558	39798
798	7566	39785
799	7576	39778
800	7585	39766
801	7594	39752
802	7604	39746
803	7614	39737
804	7623	39726
805	7632	39714
806	7641	39702
807	7650	39693
808	7660	39683
809	7669	39674
810	7677	39657
811	7687	39651
812	7696	39639
813	7706	39630
814	7716	39621
815	7726	39616
816	7736	39608
817	7744	39593
818	7754	39588
819	7763	39575
820	7772	39565
821	7782	39554
822	7791	39544
823	7802	39543
824	7815	39549
825	7823	39536
826	7832	39521
827	7840	39505
828	7849	39493
829	7858	39480
830	7867	39470
831	7877	39463
832	7886	39453
833	7896	39444
834	7907	39441
835	7917	39436
836	7927	39426
837	7936	39415
838	7945	39405
839	7954	39393
840	7962	39378
841	7972	39368
842	7981	39357
843	7990	39348
844	7999	39336
845	8009	39327
846	8018	39317
847	8027	39304
848	8036	39291
849	8044	39278
850	8052	39261
851	8061	39249
852	8070	39238
853	8080	39229
854	8089	39219
855	8099	39210
856	8107	39196
857	8116	39182
858	8125	39172
859	8135	39165
860	8144	39153
861	8154	39147
862	8164	39136
863	8173	39124
864	8183	39118
865	8193	39112
866	8203	39104
867	8213	39098
868	8222	39086
869	8231	39074
870	8240	39062
871	8249	39052
872	8259	39045
873	8268	39035
874	8277	39024
875	8287	39014
876	8296	39004
877	8305	38992
878	8314	38979
879	8324	38972
880	8332	38957
881	8341	38946
882	8350	38936
883	8359	38922
884	8368	38910
885	8378	38903
886	8387	38894
887	8396	38880
888	8405	38870
889	8414	38857
890	8422	38840
891	8431	38832
892	8441	38821
893	8449	38806
894	8459	38800
895	8468	38789
896	8477	38777
897	8485	38762
898	8495	38752
899	8503	38739
900	8513	38730
901	8524	38727
902	8533	38719
903	8543	38709
904	8554	38706
905	8563	38696
906	8572	38685
907	8581	38672
908	8590	38660
909	8598	38648
910	8609	38645
911	8619	38637
912	8629	38628
913	8637	38614
914	8647	38605
915	8657	38597
916	8666	38586
917	8676	38579
918	8684	38566
919	8693	38554
920	8702	38542
921	8710	38528
922	8719	38514
923	8728	38503
924	8737	38493
925	8746	38479
926	8755	38467
927	8765	38463
928	8774	38451
929	8783	38440
930	8792	38429
931	8801	38416
932	8810	38403
933	8819	38395
934	8830	38389
935	8838	38375
936	8848	38368
937	8857	38356
938	8867	38349
939	8875	38332
940	8884	38322
941	8894	38317
942	8903	38304
943	8912	38293
944	8921	38282
945	8930	38271
946	8939	38259
947	8947	38245
948	8958	38240
949	8967	38231
950	8977	38221
951	8986	38213
952	8996	38206
953	9006	38197
954	9016	38189
955	9025	38179
956	9034	38166
957	9043	38156
958	9052	38144
959	9062	38137
960	9073	38133
961	9084	38131
962	9095	38127
963	9104	38119
964	9113	38108
965	9125	38106
966	9133	38093
967	9142	38082
968	9152	38072
969	9162	38067
970	9171	38056
971	9179	38040
972	9188	38029
973	9196	38015
974	9205	38002
975	9217	38003
976	9226	37990
977	9234	37976
978	9245	37973
979	9255	37968
980	9264	37955
981	9273	37944
982	9282	37932
983	9291	37923
984	9300	37911
985	9312	37910
986	9321	37899
987	9331	37890
988	9340	37881
989	9349	37871
990	9360	37865
991	9372	37866
992	9383	37863
993	9392	37853
994	9404	37853
995	9416	37854
996	9427	37852
997	9436	37842
998	9446	37831
999	9458	37832
1000	9470	37833
1001	9478	37820
1002	9488	37810
1003	9497	37800
1004	9507	37794
1005	9516	37781
1006	9526	37774
1007	9536	37768
1008	9545	37756
1009	9554	37746
1010	9564	37737
1011	9576	37736
1012	9585	37727
1013	9594	37716
1014	9606	37717
1015	9618	37718
1016	9628	37708
1017	9641	37714
1018	9653	37712
1019	9662	37700
1020	9672	37694
1021	9681	37684
1022	9695	37690
1023	9706	37686
1024	9717	37683
1025	9726	37673
1026	9735	37660
1027	9744	37650
1028	9754	37641
1029	9766	37643
1030	9776	37635
1031	9786	37626
1032	9795	37615
1033	9803	37602
1034	9813	37595
1035	9822	37584
1036	9832	37577
1037	9844	37577
1038	9855	37572
1039	9864	37561
1040	9872	37546
1041	9884	37544
1042	9892	37532
1043	9904	37531
1044	9913	37521
1045	9926	37524
1046	9935	37512
1047	9945	37505
1048	9955	37496
1049	9965	37488
1050	9974	37478
1051	9984	37472
1052	9993	37460
1053	10003	37449
1054	10012	37439
1055	10021	37429
1056	10030	37418
1057	10039	37406
1058	10050	37402
1059	10061	37396
1060	10070	37387
1061	10079	37375
1062	10088	37363
1063	10097	37353
1064	10107	37344
1065	10116	37334
1066	10126	37326
1067	10135	37313
1068	10143	37300
1069	10153	37294
1070	10163	37284
1071	10172	37272
1072	10181	37262
1073	10191	37253
1074	10200	37244
1075	10211	37240
1076	10222	37236
1077	10232	37228
1078	10241	37217
1079	10251	37209
1080	10260	37199
1081	10270	37188
